"name","city","country","state","industry_id","website","description","logo_url","ticker"
"MONSANTO CO","St Louis","US","MO","Chemicals","www.monsanto.com","Monsanto Company provides agricultural products for farmers. The Company's business segments are seeds and genomics. Monsanto produces a wide range of seeds and develops biotechnology traits that assist farmers in controlling insects and weeds as well as provides other seed companies with genetic material and biotechnology traits for their seed brands.","143.png","MON"
"WISCONSIN ENERGY","Milwaukee","US","WI","Multi-Utilities","www.wisconsinenergy.com","Wisconsin Energy Corporation is a diversified energy holding company. The Company, through its subsidiaries, provides utility services such as distributing electric, gas, steam, and water.","987.png","WEC"
"TAISEI CORP","Shinjuku-Ku","JP","TK","Construction & Engineering","www.taisei.co.jp","TAISEI CORPORATION is a general contractor operating nationwide and overseas. The Company builds residential, commercial, and institutional buildings such as condominiums and single-family houses.  Taisei also performs civil engineering works for roads.  The Company, through its subsidiaries, operates real estate, resort development, and financial businesses.","1898.png","1801"
"KONTRON AG","Eching","DE","#N/A Field Not Applicable","Semiconductors & Semiconductor Equipment","www.kontron.com","Kontron AG develops, produces and markets embedded computer boards.  The Company provides its products to original equipment manufacturers, systems integrators, and other end-users in high-tech industries such as telecommunications, industrial automation, mobile computing, and the Internet.","10425.png","KBC"
"ATTIJARIWAFA","Casablanca","MA","","Commercial Banks","www.attijariwafabank.com","Attijariwafa Bank provides commercial and institutional banking services to corporate and private clients in Morocco, and through its subsidiaries, to clients in France and Spain. The Bank also provides portfolio and investment management services for its roughly 300 corporate clients.","1528.png","ATW"
"DICK'S SPORTING","Coraopolis","US","PA","Specialty Retail","www.dickssportinggoods.com","Dick's Sporting Goods, Inc. is a sporting goods retailer that operates stores primarily in the eastern and central United States.  The Company's stores offer a broad selection of brand name sporting goods equipment, apparel, and footwear.","1595.png","DKS"
"INDOSAT TBK PT","Jakarta","ID","","Wireless Telecommunication Services","www.indosat.com","PT Indosat Tbk is a telecommunication and information service provider in Indonesia that provides cellular services (prepaid and postpaid), fixed data services or MIDI (Multimedia, Internet & Data Communication) and fixed voice services including fixed wireless access services.","4591.jpg","ISAT"
"CROMPTON GREAVES","Worli, Mumbai","IN","","Electrical Equipment","www.cgglobal.com","Crompton Greaves Ltd. manufactures, distributes, installs and services electrical and allied equipment such as transformers, reactors, switchgear control equipment & accessories, industrial motors, fractional horse power motors and pumps. The Company also manufactures railway & electronic equipment, communication systems, computers, software, lighting equipment and other items.","5422.png","CRG"
"ELEMENTIS PLC","London","GB","","Chemicals","www.elementis.com","Elementis plc is a global specialty chemicals company.   The Company comprises three businesses. Specialty Products produces rheology additives that enhance the flow characteristics of liquids in a wide range of applications, such as in coatings, cosmetics and oilfield drilling. Surfactants produces surface active ingredients. Chromium manufactures a range of chromium chemicals.","4595.png","ELM"
"OTTOGI CORP","Gyeonggi","KR","","Food Products","www.ottogi.co.kr","Ottogi Corporation manufactures food seasonings and instant food, such as mayonnaise, ketchup, salad dressing, sesame and cooking oils, and instant curry. The Company also produces frozen salads, fruit preservatives, instant noodles, and canned tuna.","5534.png","007310"
"BLACKSTONE / GSO","","US","NY","","www.blackstone-gso.com","Blackstone / GSO Senior Floating Rate Term Fund is a closed-end investment company incorporated in the USA. The Fund's objective seeks to provide long-term investors with a high level of monthly income. The Fund invests in a professionally managed portfolio comprised of primarily of senior loans.","14373.png","BSL"
"AEON MALL CO LTD","Chiba","JP","CB","Real Estate Management & Development","www.aeonmall.com","AEON Mall Co., Ltd. develops, manages, and maintains large-scale shopping malls throughout Japan. The Company develops shopping malls, rent the space, manages and maintains the shopping malls.","1662.png","8905"
"GEA GROUP AG","Duesseldorf","DE","","Machinery","www.geagroup.com","GEA Group AG offers engineering services. The Company designs and constructs factories that refine metals, produce hydrocarbon products and chemicals, and treat sewage.  GEA designs production lines for food processors, beverage bottlers, and chemical, pharmaceuticals, and cosmetics manufacturers.","1054.png","G1A"
"HYATT HOTELS-A","Chicago","US","IL","Hotels, Restaurants & Leisure","www.hyatt.com","Hyatt Hotels Corp. is a global hospitality company. The Company manages, franchises, owns, and develops branded hotels, resorts and residential and vacation ownership properties around the world.","1555.png","H"
"HANKOOK TIRE WOR","Seoul, Korea","KR","","Diversified Financial Services","www.hankooktire-eu.com","Hankook Tire Worldwide Co., Ltd. engages in investment activities.","4537.png","000240"
"OKINAWA CELLULAR","Okinawa","JP","ON","Wireless Telecommunication Services","www.au.kddi.com","OKINAWA CELLULAR TELEPHONE COMPANY provides cellular and car phone services in Okinawa Prefecture.  The Company also sells cellular phones and accessories.","10423.png","9436"
"KB FINANCIAL GRO","Seoul, Korea","KR","","Commercial Banks","www.kbfng.com","KB Financial Group Inc. (the ""Company""), in accordance with Financial Holding Companies Act, was established on September 29, 2008, through stock transfer with the former shareholders of its subsidiaries including Kookmin Bank in order to provide management services and financing to associated companies. The headquarters are located at Seoul, Korea","676.png","105560"
"BANK TABUNGAN NE","Jakarta","ID","","Commercial Banks","www.btn.co.id","PT Bank Tabungan Negara Persero Tbk provides commercial banking services.","5916.png","BBTN"
"EATON VANCE TAX-","","US","","","www.eatonvance.com","Eaton Vance Tax-Managed Global Diversified Equity Income Fund is a diversified closed-end management investment company incorporated in the USA. The Fund's objective is to provide current income and gains, with a secondary objective of capital appreciation. The Fund invests in a portfolio of domestic and foreign stocks that pay dividends that qualify for favorable federal tax treatment.","2467.png","EXG"
"ALPS ELEC CO LTD","Tokyo","JP","TK","Electronic Equipment, Instruments & Components","www.alps.co.jp","ALPS ELECTRIC CO., LTD. manufactures and markets electronic parts used for car electronics, computer peripheral equipment, and communications and broadcasting related equipment.  The Company's products include printers, switches, ceramic trimmer capacitors, sensors, transceiver units for cellular phones, floppy disks, drives, and magnetic heads.","4531.png","6770"
"KASIKORNBANK PCL","Bangkok","TH","","Commercial Banks","www.kasikornbank.com","Kasikornbank Public Company Limited provides commercial banking services including personal and commercial banking, international trade, as well as investment banking services, to its customers throughout Thailand.  The Bank has foreign branches in Los Angeles, Hong Kong, Cayman Islands, and Shenzhen, and representative offices in Shanghai, Beijing, and Kunmin.","771.jpg","KBANK"
"WESTERN FOREST","Duncan","CA","BC","Paper & Forest Products","www.westernforest.com","Western Forest Products Inc. is an integrated forest products company and a coastal woodland operator located in British Columbia, Canada.  The Company's activities include timber harvesting, reforestation, sawmilling logs into lumber and wood chips, value-added remanufacturing, and producing NBSK pulp.  Western Forest's products are sold in various countries worldwide.","10333.gif","WEF"
"NZX LTD","Wellington","NZ","#N/A Field Not Applicable","Diversified Financial Services","www.nzx.com","NZX Ltd. operates the New Zealand Stock Exchange, the country's primary national stock exchange.  NZX provides markets that facilitate the raising of capital and the trading of corporate securities and operates markets for equities, corporate and government bonds, fixed income securities and alternative equity investments.","14569.png","NZX"
"FREDDIE MAC","Mc Lean","US","VA","Thrifts & Mortgage Finance","www.freddiemac.com","Freddie Mac is a stockholder-owned corporation chartered by Congress in 1970 to create a continuous flow of funds to mortgage lenders.  Freddie purchases single-family and multi-family residential mortgages and mortgage-related securities, which it finances primarily by issuing mortgage pass through securities and debt instruments in the capital markets.","1123.png","FMCC"
"NEW FLYER INDUST","Winnipeg","CA","MB","Machinery","www.newflyer.com","New Flyer Industries Inc. manufactures heavy-duty transit buses in Canada and the United States.  The Company also provides aftermarket parts and service. New Flyer manufactures a variety of buses in several body lengths with an array of propulsion systems, including diesel, liquid natural gas, and electric trolleys.","9791.png","NFI"
"LUK FOOK HLDGS I","Jordan","HK","","Specialty Retail","www.lukfook.com.hk","Luk Fook Holdings (International) Limited retails jewellery. The Company engages in the sourcing, designing, wholesaling and retailing of a variety of platinum and gold jewellery, gold ornaments, gem-set jewellery, natural jadeites, gemstones, and other related products. Luk Fook offers its products in Hong Kong, Mainland China, Macau, Singapore, the United States and Canada.","2821.png","590"
"UCO BANK","Kolkata","IN","","Commercial Banks","www.ucobank.com","UCO Bank provides a full range of banking services throughout India. UCO Bank operates over 1,700 banking branches in India, as well as four branches in overseas locations.","5823.png","UCO"
"BERKSHIRE HILLS","Pittsfield","US","MA","Thrifts & Mortgage Finance","www.berkshirebank.com","Berkshire Hills Bancorp, Inc. is the holding company for Berkshire Bank.  The Bank is a Massachusetts chartered savings bank which operates in Pittsfield and Berkshire County in Massachusetts.  Berkshire Bank also makes loans in eastern New York, northern Connecticut, southern Vermont, and western Massachusetts.","10383.png","BHLB"
"AGGREKO PLC","Glasgow","GB","","Commercial Services & Supplies","www.aggreko.com","Aggreko plc provides specialist power and temperature control rental services in two main product areas, mobile electricity generators and temperature control equipment.  Aggreko also supplies oil-free diesel compressors used to eliminate oil based contaminants in the food, pharmaceutical and textile industries.  The Group operates through approximately 118 depots in 23 countries worldwide.","1588.png","AGK"
"MIRVAC GROUP","Sydney","AU","NSW","Real Estate Investment Trusts (REITs)","www.mirvac.com.au","Mirvac Group is an integrated, diversified Australian property group comprising an investment portfolio and a development business. The Company's investment portfolio, Mirvac Property Trust, invests in and manages office, retail and industrial assets and the development business has exposure to both residential and commercial projects.","1821.png","MGR"
"CIT GROUP INC","New York","US","NY","Commercial Banks","www.cit.com","CIT Group Inc. operates as a holding company. The Company, through its subsidiaries, provides lending, advisory, commercial banking, vendor finance, and leasing services to small and middle market businesses. CIT Group operates globally.","929.png","CIT"
"LONMIN PLC","London","GB","","Metals & Mining","www.lonmin.com","Lonmin PLC is a mineral resources group. The Group produces Platinum and other Platinum group metals such as Palladium and Rhodium. The Company's operations are located in the district of Marikana, near Rustenberg, in the North West Province of South Africa.","2505.png","LMI"
"JAIN IRRIGATION","Jalgaon","IN","#N/A Field Not Applicable","Machinery","www.jains.com","Jain Irrigation Systems Ltd. manufactures micro-irrigation systems, plastic pipes and plastic sheets, as well as processes horticulture in India.  The Company's irrigation systems include both drip and sprinkler systems.","9889.png","JI"
"APOLLO HOSPITALS","Chennai","IN","","Health Care Providers & Services","www.apollohospitals.com","Apollo Hospitals Enterprise Limited owns and operates hospitals in India.  The Company also runs a 24-hour pharmacy network via over 120 outlets across India. Apollo Hospitals also runs clinics and offer managed care and family health plans. The Company has a variety of locations in Chennai, Hyderabad, Delhi, Dubai, Vizag, Bilaspur and Chengannur.","4576.png","APHS"
"MITEL NETWORKS C","Kanata","CA","ON","Communications Equipment","www.mitel.com","Mitel Networks Corp., is a provider of communications solutions for organizations. The Company offers solutions, from business communications to unified communications, from prepackaged to tailored applications.","9839.png","MITL"
"ABM INVESTAMA TB","Jakarta","ID","#N/A Field Not Applicable","Oil, Gas & Consumable Fuels","www.abm-investama.com","PT ABM Investama Tbk invests in energy resources, energy services and energy infrastructure.  Through subsidiaries, the Company mines coal, offers mining services, offers logistics and warehousing services, generates electricity, and manufactures equipment for the mining, oil and natural gas, electricity generation, and transportation industries.","10259.jpg","ABMM"
"COOPER TIRE & RU","Findlay","US","OH","Auto Components","www.coopertire.com","Cooper Tire & Rubber Company manufactures and markets replacement tires. The Company focuses on the manufacture and sale of passenger and light truck replacement tires. Cooper also manufactures radial medium truck tires and materials and equipment for the truck tire retread industry.","4787.png","CTB"
"TAIYO NIPPON SAN","Shinagawa-Ku","JP","TK","Chemicals","www.tn-sanso.co.jp","TAIYO NIPPON SANSO CORPORATION produces various kinds of industrial gases including oxygen, argon, and nitrogen.  The Company also manufactures frozen foods and thermos.","2515.jpg","4091"
"HI-LEX CORP","Takarazuka","JP","HG","Auto Components","www.hi-lex.co.jp","HI-LEX CORPORATION manufactures control cables for automobiles, ships, medical equipment, and construction machines. It's products include parking brake cables transmission control cables, steering cables, and micro control cables. It also provides window regulator and power lift gate systems for automobiles. HI-LEX has subsidiaries in South Korea, the United States, Mexico, India, and Vietnam.","5914.png","7279"
"DANAL CO LTD","Kyeonggi-do","KR","#N/A Field Not Applicable","Software","www.danal.co.kr","Danal Co., Ltd. specializes in developing and providing cellular mobile telephone services.  The Company's products include ring tones, games, color graphics, instant messenger and entertainment, and mobile payments through Internet and mobile devices.","14358.png","064260"
"EXPRESS SCRIPTS","St. Louis","US","MO","Health Care Providers & Services","www.express-scripts.com","Express Scripts Holding Company. is a full service pharmacy benefit management and specialty managed care company serving clients throughout North America. The Company's customers include managed care organizations, insurance carriers, third party administrators, employers, and union-sponsored benefit plans.","159.png","ESRX"
"KUNLUN ENERGY CO","Western District","HK","","Oil, Gas & Consumable Fuels","www.kunlun.com.hk","Kunlun Energy Company Ltd, through its subsidiaries, explores and produces crude oil and natural gas in China.","664.png","135"
"DAUM COMMUNICATI","Seoul, Korea","KR","","Internet Software & Services","www.daum.net","Daum Communications Corporation provides Internet portal services such as news, free e-mail, and leisure information.  The Company also operates an online guide to Web navigation and Web-based communication services.  Daum Communications also offers tour and insurance business through its subsidiaries.","5666.png","035720"
"CHESAPEAKE ENERG","Oklahoma City","US","OK","Oil, Gas & Consumable Fuels","www.chkenergy.com","Chesapeake Energy Corporation produces oil and natural gas.  The Company's operations are focused on discovering, developing and acquiring conventional and unconventional natural gas reserves onshore in the United States.","540.jpg","CHK"
"AMERICAN EXPRESS","New York","US","NY","Consumer Finance","www.americanexpress.com","American Express Company is a global payment and travel company. The Company's principal products and services are charge and credit payment card products and travel-related services offered to consumers and businesses around the world.","76.png","AXP"
"NEWCREST MINING","Melbourne","AU","VICT","Metals & Mining","www.newcrest.com.au","Newcrest Mining Limited is a gold mining, exploration and production company. The Company is geographically focused in Australia, the Pacific region and Asia. Newcrest Mining operates projects within six provinces in four countries, focusing on the Cadia East and Lihir MOPU expansion projects and the Wafi Golpu and Namosi greenfield projects.","1913.png","NCM"
"WOLVERINE WORLD","Rockford","US","MI","Textiles, Apparel & Luxury Goods","www.wolverineworldwide.com","Wolverine World Wide, Inc. manufactures and markets branded footwear and performance leathers.  The Company's products include shoes, slippers, occupational and safety footwear, and performance outdoor footwear, among others.","2342.jpg","WWW"
"SAFE BULKERS INC","Athens","GR","#N/A Field Not Applicable","Marine","www.safebulkers.com","Safe Bulkers Inc. is an international provider of marine drybulk transportation services transporting bulk cargoes particularly grain, iron ore, and coal. The Company has a fleet of panamax, kamsarmax, and post-panamax class vessels.","10379.png","SB"
"GODREJ INDUSTRIE","Vikhroli East, Mumbai","IN","","Chemicals","www.godrej.com","Godrej Industries Limited manufactures a variety of specialty chemical products like Alpha Olefin Sulphonate, Fatty Acids, Glycerin and Fatty Alcohols. The company also manufactures edible oils and processed foods and has finance and investment activities as part of their operations.","5283.png","GDSP"
"YELLOW MEDIA LTD","Verdun","CA","QC","Media","www.ypg.com","Yellow Media Ltd through subsidiaries, publishes directories and offers business services.  The Company maintains printed, digital and mobile business directories, and offers inventory  management, web solutions, optimization of media spending, and lead generation services.","9845.png","Y"
"EPIQ SYSTEMS INC","Kansas City","US","KS","Software","www.epiqsystems.com","EPIQ Systems, Inc. develops, markets, licenses, and supports proprietary software products for bankruptcy trustees on a national basis.  The Company also develops communications systems for business-to-business and enterprise-wide open file delivery.","9800.png","EPIQ"
"CHECK POINT SOFT","Tel Aviv","IL","","Software","www.checkpoint.com","Check Point Software Technologies Ltd. develops, markets and supports a range of software and hardware products and services for information technology (IT) security and offers its customers a network and gateway security solutions, data and endpoint security solutions and management solutions.","789.png","CHKP"
"BENCHMARK ELECTR","Angleton","US","TX","Electronic Equipment, Instruments & Components","www.bench.com","Benchmark Electronics, Inc. provides contract electronics manufacturing and design services.  The Company serves original equipment manufacturers of medical devices, industrial control equipment, testing and instrumentation products, and telecommunications equipment.  Benchmark also offers product design, printed circuit board layout, prototyping and test development services.","5524.png","BHE"
"ITC LTD","Kolkata","IN","","Tobacco","www.itcportal.com","ITC Limited, a member of BAT Group of UK, is a holding company, which has a diversified presence in Cigarettes, Hotels, Paperboards & Specialty Papers, Packaging, Agri Business, Packaged Foods & Confectionery, Branded Apparel, Greeting Cards and other FMCG products.","226.png","ITC"
"VIASAT INC","Carlsbad","US","CA","Communications Equipment","www.viasat.com","ViaSat, Inc. provides advanced broadband digital satellite communications and other wireless networking and signal processing equipment and services.  The Company's defense products include satellite communications products consisting of modems, terminals, and network control systems, advanced multifunction information distribution systems, and simulation test equipment.","2563.png","VSAT"
"BJ'S RESTAURANTS","Huntington Beach","US","CA","Hotels, Restaurants & Leisure","www.bjsbrewhouse.com","BJ's Restaurants Inc owns and operates restaurants under the names BJ's Restaurant & Brewery, BJ's Pizza & Grill, and BJ's Restaurant & Brewhouse.  The Company's restaurants are located in Colorado, Oregon, California, Arizona, Texas, and Nevada.","5922.png","BJRI"
"ALLCARGO LOGISTI","Mumbai","IN","#N/A Field Not Applicable","Air Freight & Logistics","www.allcargoglobal.com","Allcargo Logistics Limited is a full service logistics company. The Company offers specialized logistics services across multimodal transport operations, container freight station operations and project and engineering solutions.","14268.png","AGLL"
"CME GROUP INC","Chicago","US","IL","Diversified Financial Services","www.cme.com","CME Group Inc. operates a derivatives exchange that trades futures contracts and options on futures, interest rates, stock indexes, foreign exchange and commodities.  The Exchange brings together buyers and sellers of derivatives products on its trading floors, electronic trading platform, and through privately negotiated transactions that it clears.","375.png","CME"
"SHIMAO PROPERTY","Wan Chai","HK","","Real Estate Management & Development","www.shimaoproperty.com","Shimao Property Holdings Limited develops real estate projects in China.","1077.png","813"
"ANHUI ANKAI AU-A","Hefei, Anhui","CN","#N/A Field Not Applicable","Machinery","www.ankai.com","Anhui Ankai Automobile Co., Ltd. manufactures and markets large and middle size buses and bus chassis.  The Company also sells auto parts and provides auto repair services.","9866.png","000868"
"GALENA BIOPHARMA","Lake Oswego","US","MA","Biotechnology","www.galenabiopharma.com","Galena Biopharma, Inc. is a biopharmaceuticals company that develops late-stage oncology drugs.  The Company develops therapies that activate cells in the immune system to seek out and eliminate tumor cells without harming healthy tissue.","9847.gif","GALE"
"ATOM CORP","Aichi","JP","AC","Hotels, Restaurants & Leisure","www.atom-corp.co.jp","ATOM CORPORATION operates revolving sushi restaurant chain known as Atom Boy. The Company also has BBQ and pork cutlet restaurants and started Italian food business.  The Company operates its own restaurants and also has franchise in Aichi, Fukui,and Ishikawa prefectures.","5835.png","7412"
"NUVEEN ENERGY ML","Chicago","US","IL","","www.nuveen.com","Nuveen Energy MLP Total Return Fund is a closed-end management investment company.  The fund seeks to provide tax-advantaged total returns with an emphasis on current distributions.  Nuveen Energy MLP Total Return Fund invests a large percentage of its funds in energy master limited partnerships.","6050.png","JMF"
"QUAKER CHEMICAL","Conshohocken","US","PA","Chemicals","www.quakerchem.com","Quaker Chemical Corporation produces, develops, and markets custom-formulated chemical specialty products.  The Company also provides fluid management services for manufacturers around the world, primarily in the steel, automotive, and can industries.","5722.png","KWR"
"MEGAFON","Moscow","RU","","Wireless Telecommunication Services","www.megafon.ru","MegaFon OAO provides telecommunication services. The Company offers services including voice, sms, call forwarding, voice mail, roaming, conference call, fax transmission, data transmission, multimedia, administration, informational, and voice entertainment services. MegaFon provides services throughout Russia.","497.png","MFON"
"ASUSTEK COMPUTER","Taipei","TW","","Computers & Peripherals","www.asus.com.tw","Asustek Computer Inc. manufactures and markets computer motherboards, interface cards, notebook computers, and other related products.","1630.png","2357"
"SIRIUS XM CANADA","Toronto","CA","ONT","Media","www.siriusxm.ca","Sirius XM Canada Holdings Inc. provides satellite radio service.  The Company broadcasts satellite radio channels featuring sports, news, talk, entertainment, and commercial free music in Canada and the United States.","4614.png","XSR"
"WABCO HOLDINGS","Piscataway","US","NJ","Machinery","www.wabco-auto.com","WABCO Holdings Inc., manufactures electronic braking, stability, suspension and transmission control systems commercial vehicles.","1800.png","WBC"
"HUDBAY MINERALS","Toronto","CA","ONT","Metals & Mining","www.hudbayminerals.com","HudBay Minerals, Inc. is a mining company that mines and produces zinc, copper, gold, and silver.  The Company holds interest in properties in North America.","5485.png","HBM"
"ELECTROCOMPONENT","Oxford","GB","","Electronic Equipment, Instruments & Components","www.electrocomponents.com","Electrocomponents plc distributes electronics and maintenance products.  The Company offers products through catalogues, the internet, and at trade counters.  Electrocomponents PLC's products include electronics, electrical, mechanical, automation, and health and safety components.","4544.png","ECM"
"SAIPEM SPA","Milan","IT","","Energy Equipment & Services","www.saipem.it","Saipem S.p.A. offers construction and offshore and onshore drilling services. The Company installs sub-sea pipelines, installs fixed platforms, manages complete onshore construction projects, and drills for oil mainly in Italy, Algeria, Nigeria, and the Arabian peninsula.","971.png","SPM"
"SYMANTEC CORP","Mountain View","US","CA","Software","www.symantec.com","Symantec Corporation provides security, storage and systems management solutions to help businesses and consumers secure and manage their information. The Company offers software and services that protect, manage and control information risks related to security, data protection, storage, compliance and management.","618.png","SYMC"
"VISTEON CORP","Van Buren Township","US","MI","Auto Components","www.visteon.com","Visteon Corporation supplies automotive systems, modules, and components to vehicle manufacturers and the aftermarket on a worldwide basis.  The Company manufactures products such as climate control systems, electronics, interiors, and lighting.","2187.png","VC"
"USANA HEALTH SCI","Salt Lake City","US","UT","Personal Products","www.usanahealthsciences.com","USANA Health Sciences, Inc. develops, manufactures, and markets nutritionals, personal care, and weight management products.  The Company's products are sold directly to preferred customers and distributors throughout the United States, Canada, Australia, New Zealand, the United Kingdom, and Hong Kong.","5693.png","USNA"
"HANSARD GLOB","Douglas","IM","#N/A Field Not Applicable","Insurance","www.hansard.com","Hansard Global plc provides, supports, and services life assurance products for financial institutions and independent financial intermediaries globally.","14277.png","HSD"
"CAPITACOMMERCIAL","Singapore","SG","","Real Estate Investment Trusts (REITs)","www.capitacommercial.com","CapitaCommercial Trust is a property trust company which invests in commercial real estate properties.","2348.png","CCT"
"FACTSET RESEARCH","Norwalk","US","CT","Software","www.factset.com","FactSet Research Systems Inc. supplies global economic and financial data to analysts, investment bankers, and other financial professionals.  The Company combines databases from multiple suppliers into a single online source of information and analytics, including fundamental data.","1936.jpg","FDS"
"MANITOWOC CO","Manitowoc","US","WI","Machinery","www.manitowoc.com","The Manitowoc Company, Inc. is a diversified industrial manufacturer of cranes and related products and foodservice equipment. The Company's products include lattice-boom cranes, tower cranes, mobile telescopic cranes, and boom trucks as well as ice making machines, refrigerators, and freezers.","2529.png","MTW"
"LEGRAND SA","Limoges (Cedex)","FR","","Electrical Equipment","www.legrandelectric.com","Legrand S.A. specializes in products and systems for electrical installations and information networks.  The company's products are offered for residential, commercial, and industrial use.","684.png","LR"
"JAPAN RADIO CO","mitaka","JP","TK","Communications Equipment","www.jrc.co.jp","Japan Radio Co., Ltd. manufactures and markets various types of radio communication equipment, ranging from marine electronics to water, road, and air traffic management systems.  The Company also manufactures cellular phones, broadcasting equipment, wireless LAN adapters, and meteorological equipment.","9598.gif","6751"
"TURK EKONOMI BAN","Istanbul","TR","","Commercial Banks","www.teb.com.tr","Turk Ekonomi Bankasi A.S. (TEB) attracts deposits and offers commercial banking services.  The Bank offers foreign trade financing, cash management, project finance, investment banking, factoring, lease financing, insurance, private banking, mutual funds, credit cards, treasury, asset management, and precious metals trading services.","2695.jpg","TEBNK"
"SMI","Casablanca","MA","","Metals & Mining","www.managemgroup.com","Societe Metallurgique d'Imiter operates silver mines worldwide and procudes high purity silver metal in the form of silver anodes.","6063.png","SMI"
"BBVA","Bilbao","ES","","Commercial Banks","www.bbva.com","Banco Bilbao Vizcaya Argentaria, S.A. attracts deposits and offers retail, wholesale, and investment banking services.  The Bank offers consumer and mortgage loans, private banking, asset management, insurance, mutual funds, and securities brokerage services.  It operates in Europe, Latin America, United States, China and Turkey.","128.jpg","BBVA"
"SKF INDIA LTD","Mumbai","IN","#N/A Field Not Applicable","Machinery","www.skfindia.com","SKF India Ltd. manufactures a wide range of ball and roller bearings, such as deep groove, taper roller and other types.  Bearings are used by a number of industries, including the automotive, electrical, power generation, cement, steel, petrochemical and textile industries.","9998.png","SKF"
"INVESTOR AB-B","Stockhlom","SE","","Diversified Financial Services","www.investorab.com","Investor AB is an industrial holding company.  The Company owns significant shareholdings in major public multinational companies and conducts private equity activities in Europe, North America, and Asia.  Investor takes an active ownership role in many of the companies it owns.","412.png","INVEB"
"BANK OF BARODA","Vadodara","IN","","Commercial Banks","www.bankofbaroda.com","Bank of Baroda owns and operates commercial banks in India.  The Group's banks provide the traditional forms of banking services, including CD's, Credit Card services and a variety of car loans, in addition to gold banking and a range of insurance services.  The Group also owns IBU International Finance Limited, an international banking company in Hong Kong.","1999.png","BOB"
